epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2096.09,1.23262,3.00022,1.53741,0.48792,0.54103,0.50624,0.32368,1.22773,2.52305,1.60801,0.000158276,0.000158276,0.000158276
2,4155.29,1.21051,2.07464,1.50168,0.61228,0.56248,0.59094,0.38607,1.24385,2.17099,1.62108,0.000310667,0.000310667,0.000310667
3,6209.97,1.1973,1.84664,1.48853,0.57649,0.60133,0.59928,0.38399,1.27792,1.95159,1.63394,0.000456775,0.000456775,0.000456775
4,8250.17,1.188,1.6813,1.47331,0.61868,0.67971,0.67686,0.43361,1.23849,1.61476,1.60206,0.000447726,0.000447726,0.000447726
5,10335.1,1.17167,1.54131,1.45983,0.67016,0.65864,0.69418,0.46893,1.18439,1.50913,1.55266,0.000438301,0.000438301,0.000438301
6,12387.7,1.15577,1.45594,1.43857,0.67988,0.6858,0.71693,0.48785,1.18192,1.33381,1.54312,0.000428876,0.000428876,0.000428876
7,14470.7,1.14187,1.37549,1.43161,0.7134,0.69773,0.74335,0.51073,1.16141,1.26253,1.52769,0.000419451,0.000419451,0.000419451
8,16532,1.14327,1.32611,1.43085,0.74403,0.7048,0.75143,0.51396,1.17316,1.19972,1.52767,0.000410026,0.000410026,0.000410026
9,18615.4,1.1182,1.24269,1.41183,0.74652,0.72329,0.78064,0.5334,1.15569,1.08193,1.51195,0.000400602,0.000400602,0.000400602
10,20756.6,1.11963,1.22246,1.40993,0.7285,0.74914,0.78676,0.54798,1.1325,1.05946,1.48755,0.000391177,0.000391177,0.000391177
11,22987.5,1.10194,1.17207,1.40362,0.75388,0.76211,0.79141,0.54121,1.1368,1.02102,1.49064,0.000381752,0.000381752,0.000381752
12,25712.5,1.10529,1.14746,1.39399,0.72641,0.74925,0.78758,0.5434,1.12946,1.08182,1.48436,0.000372327,0.000372327,0.000372327
13,27770.6,1.10305,1.14171,1.40419,0.75352,0.75606,0.79454,0.55059,1.13018,1.03391,1.48082,0.000362902,0.000362902,0.000362902
14,30016.8,1.09356,1.10168,1.38723,0.76395,0.77713,0.82316,0.57319,1.11759,0.94911,1.4628,0.000353478,0.000353478,0.000353478
15,32190.1,1.08029,1.07953,1.38734,0.77488,0.75929,0.81672,0.56978,1.11339,0.93256,1.46189,0.000344053,0.000344053,0.000344053
16,34321.5,1.08278,1.05063,1.38393,0.77912,0.76907,0.81466,0.56503,1.11571,0.90174,1.46248,0.000334628,0.000334628,0.000334628
17,36373.9,1.06448,1.03689,1.37167,0.79594,0.76759,0.82503,0.5756,1.11186,0.88436,1.45185,0.000325203,0.000325203,0.000325203
18,38428.2,1.07529,1.02562,1.37857,0.79088,0.78458,0.8313,0.58186,1.10269,0.89102,1.44134,0.000315778,0.000315778,0.000315778
19,40558,1.0629,0.9996,1.3696,0.76602,0.79177,0.83336,0.58263,1.10611,0.86391,1.44188,0.000306354,0.000306354,0.000306354
20,42596.5,1.05186,0.9812,1.3629,0.79341,0.80171,0.8442,0.59341,1.08718,0.83847,1.4325,0.000296929,0.000296929,0.000296929
21,44648.8,1.0606,0.98003,1.36374,0.78374,0.79605,0.83793,0.58814,1.0993,0.84932,1.4269,0.000287504,0.000287504,0.000287504
22,46679.1,1.0394,0.94728,1.35205,0.78801,0.80411,0.84676,0.5936,1.08515,0.81544,1.42381,0.000278079,0.000278079,0.000278079
23,48731.1,1.04189,0.94361,1.35357,0.77868,0.80759,0.83924,0.5917,1.09404,0.82097,1.42996,0.000268654,0.000268654,0.000268654
24,50780.9,1.04487,0.93467,1.35316,0.81188,0.79514,0.84541,0.60162,1.08115,0.79322,1.41422,0.00025923,0.00025923,0.00025923
25,52836,1.03533,0.9117,1.34617,0.80594,0.78164,0.84142,0.5941,1.09051,0.80674,1.42487,0.000249805,0.000249805,0.000249805
26,54889.7,1.03465,0.91632,1.34509,0.83056,0.79577,0.85578,0.60562,1.07754,0.77121,1.41303,0.00024038,0.00024038,0.00024038
27,56946.5,1.02705,0.90043,1.34204,0.81448,0.81199,0.85788,0.60636,1.08684,0.77682,1.40918,0.000230955,0.000230955,0.000230955
28,59015.2,1.02901,0.89277,1.34152,0.80447,0.80858,0.8494,0.60052,1.07478,0.79269,1.40418,0.00022153,0.00022153,0.00022153
29,61064.7,1.02421,0.88429,1.34038,0.81602,0.81654,0.85553,0.6054,1.0795,0.7734,1.40006,0.000212106,0.000212106,0.000212106
